Date,Temperature,Max_Temperature,Min_Temperature,Relative_Humidity,Rainfall,Wind_Speed,Solar_Radiation
2016-01-01,19.94,26.62,14.85,72.57,0.01,2.7,26.93
2016-01-02,18.89,26.15,13.02,73.27,0.49,2.97,25.65
2016-01-03,18.77,25.95,13.02,78.5,5.7,3.29,24.74
2016-01-04,18.8,24.16,15.21,83.54,11.28,4.17,16.7
2016-01-05,18.58,24.22,15.05,82.98,7.03,4.02,24.17
2016-01-06,19.1,25.06,14.47,79.57,0.79,3.3,24.46
2016-01-07,18.76,25.2,14.26,78.41,0.1,3.03,24.49
2016-01-08,18.87,25.8,13.1,74.91,0.02,2.79,25.45
2016-01-09,18.94,25.71,13.17,74.38,0.01,2.72,23.15
2016-01-10,19.24,24.88,15.34,73.52,0.04,2.19,15.13
2016-01-11,18.59,23.48,15.34,80.74,1.63,2.1,16.19
2016-01-12,18.89,24.21,15.56,81.04,2.43,2.93,19.13
2016-01-13,19.14,25.0,15.26,77.02,0.24,3.0,24.26
2016-01-14,19.4,25.79,14.62,76.06,0.79,2.46,18.06
2016-01-15,19.49,26.08,14.88,77.69,1.92,1.61,19.45
2016-01-16,18.67,23.17,15.31,80.9,2.71,2.36,19.72
2016-01-17,18.83,24.32,14.74,79.02,6.18,1.54,12.99
2016-01-18,19.71,25.39,15.84,79.79,13.73,1.31,16.45
2016-01-19,18.4,22.27,16.42,86.75,10.51,1.48,11.25
2016-01-20,18.75,23.53,15.68,85.86,4.37,2.32,13.9
2016-01-21,18.89,24.82,14.68,80.12,0.97,2.41,17.37
2016-01-22,18.9,25.49,13.57,75.18,0.04,2.7,22.77
2016-01-23,18.76,26.19,12.39,68.72,0.01,2.72,26.34
2016-01-24,19.32,26.84,13.39,65.98,0.02,2.11,25.14
2016-01-25,19.66,27.72,13.08,65.47,0.06,2.0,24.38
2016-01-26,19.79,28.11,13.77,61.71,0.01,2.17,25.24
2016-01-27,20.55,28.33,12.95,60.85,0.78,1.62,22.88
2016-01-28,19.96,26.05,15.56,71.45,0.76,2.64,19.6
2016-01-29,19.52,25.72,14.95,76.96,0.58,2.51,21.19
2016-01-30,19.5,26.0,15.0,72.63,0.17,3.39,24.28
2016-01-31,19.57,26.34,13.62,69.12,0.08,2.93,23.8
2016-02-01,19.9,27.52,14.02,68.2,0.04,3.31,24.22
2016-02-02,18.94,26.52,12.39,62.48,0.0,3.49,26.22
2016-02-03,18.71,26.92,11.37,58.28,0.0,3.02,25.62
2016-02-04,19.53,28.32,12.53,57.59,0.0,2.88,27.05
2016-02-05,19.74,28.06,12.93,52.52,0.0,3.28,27.37
2016-02-06,19.64,28.49,12.49,53.05,0.0,2.91,27.27
2016-02-07,21.4,30.17,13.91,53.08,0.0,1.56,25.34
2016-02-08,21.59,28.16,16.71,64.1,0.96,0.48,13.87
2016-02-09,18.93,22.95,16.87,83.13,3.03,1.21,13.17
2016-02-10,20.3,26.1,15.87,78.06,5.33,1.33,18.33
2016-02-11,19.73,25.35,15.68,77.04,2.23,1.5,13.34
2016-02-12,20.51,27.93,13.98,67.85,0.09,2.65,23.9
2016-02-13,20.14,27.89,13.46,64.56,0.07,3.28,27.16
2016-02-14,19.68,27.68,13.01,60.87,0.0,3.23,27.67
2016-02-15,19.68,27.94,12.44,59.8,0.0,3.23,27.78
2016-02-16,18.85,26.74,12.17,66.69,0.01,2.74,28.64
2016-02-17,20.73,29.51,11.58,58.42,0.0,2.31,27.34
2016-02-18,22.15,31.02,15.0,57.56,0.08,2.56,26.55
2016-02-19,20.66,27.27,15.31,65.05,0.05,3.77,18.79
2016-02-20,19.09,25.73,13.65,63.15,0.01,3.81,23.09
2016-02-21,18.84,26.88,12.0,53.91,0.0,3.29,27.65
2016-02-22,19.65,28.79,11.87,50.15,0.0,3.0,28.13
2016-02-23,20.35,28.69,12.58,60.41,0.0,3.2,27.75
2016-02-24,20.6,29.01,12.34,63.48,0.0,3.16,27.78
2016-02-25,20.84,29.55,12.76,59.95,0.04,3.0,27.97
2016-02-26,20.42,27.95,13.88,71.83,1.89,3.36,25.21
2016-02-27,20.14,26.92,15.14,73.74,4.4,4.09,22.51
2016-02-28,19.84,26.5,15.18,76.11,2.48,4.43,22.79
2016-02-29,20.18,26.69,15.7,74.04,2.57,4.15,23.45
2016-03-01,20.84,28.65,15.67,69.98,1.9,3.72,22.36
2016-03-02,20.93,27.0,16.1,71.72,0.7,3.38,23.82
2016-03-03,21.15,28.39,15.52,70.02,1.12,4.03,25.02
2016-03-04,20.89,27.97,15.48,68.61,0.19,4.18,26.85
2016-03-05,20.76,29.08,14.45,66.64,0.19,3.02,27.53
2016-03-06,21.74,30.4,13.65,61.06,0.06,2.39,26.3
2016-03-07,21.71,29.78,15.6,66.86,7.82,2.63,22.24
2016-03-08,20.64,25.69,17.01,72.93,4.74,2.62,20.54
2016-03-09,20.38,26.41,16.16,78.3,4.08,2.64,17.8
2016-03-10,18.25,20.65,16.14,82.37,3.18,1.86,19.85
2016-03-11,20.67,28.65,14.26,69.34,0.63,3.99,27.03
2016-03-12,20.85,27.58,16.33,69.96,0.28,4.17,26.71
2016-03-13,20.23,28.64,13.09,63.29,0.0,3.41,28.81
2016-03-14,20.56,29.19,13.39,60.81,0.0,3.33,29.11
2016-03-15,20.7,29.39,13.2,60.72,0.0,3.06,28.15
2016-03-16,21.5,30.09,13.45,56.13,0.0,2.91,27.13
2016-03-17,22.03,30.43,14.18,57.86,0.12,2.6,27.05
2016-03-18,21.5,29.57,15.48,63.11,0.17,2.52,24.82
2016-03-19,21.6,28.02,15.82,65.27,0.25,3.13,25.81
2016-03-20,22.7,30.52,16.77,60.06,0.33,4.14,26.99
2016-03-21,22.57,30.6,15.98,56.72,0.01,3.75,27.18
2016-03-22,21.89,29.56,14.77,60.47,0.41,2.75,23.9
2016-03-23,22.88,31.26,15.26,52.2,0.07,3.0,24.74
2016-03-24,21.92,30.33,14.82,60.62,0.12,3.52,27.26
2016-03-25,21.07,28.06,15.33,63.33,0.78,4.32,25.45
2016-03-26,21.28,29.31,13.87,61.44,0.42,3.73,27.23
2016-03-27,22.55,30.78,16.09,57.85,0.02,3.32,26.1
2016-03-28,23.44,31.78,14.95,54.04,0.07,3.07,25.7
2016-03-29,23.46,31.94,15.43,55.64,0.12,3.1,25.37
2016-03-30,22.92,30.52,16.85,63.03,1.67,3.81,24.98
2016-03-31,22.87,31.07,16.34,61.22,1.02,3.46,22.11
2016-04-01,20.22,25.59,17.31,77.95,9.74,2.64,18.48
2016-04-02,20.8,27.48,16.54,75.21,6.76,2.53,16.26
2016-04-03,20.52,27.62,15.82,73.9,2.09,3.01,16.22
2016-04-04,19.3,23.98,15.3,76.14,1.52,2.25,14.46
2016-04-05,20.7,28.54,13.97,64.41,0.46,2.4,18.2
2016-04-06,20.12,26.11,16.15,74.24,3.51,3.29,19.38
2016-04-07,20.18,28.45,14.72,66.35,0.65,3.25,22.83
2016-04-08,21.28,29.86,12.65,58.64,0.08,2.55,23.17
2016-04-09,21.26,28.67,15.7,70.4,1.64,2.26,21.56
2016-04-10,21.45,29.26,15.94,70.39,2.17,3.11,23.09
2016-04-11,21.29,28.03,16.9,72.11,2.45,3.64,19.43
2016-04-12,20.71,27.98,15.78,72.66,3.4,3.72,19.33
2016-04-13,20.81,28.74,14.63,66.28,1.05,2.91,21.64
2016-04-14,21.37,29.57,15.34,65.46,1.71,2.29,21.14
2016-04-15,20.69,28.9,15.27,75.58,4.79,2.45,19.85
2016-04-16,19.74,25.2,16.28,78.37,4.93,3.96,20.86
2016-04-17,19.97,26.93,15.11,74.93,22.86,2.81,19.24
2016-04-18,19.7,25.66,14.86,74.41,0.84,1.92,21.48
2016-04-19,20.4,26.85,14.53,73.18,1.13,2.23,20.27
2016-04-20,20.56,26.93,16.38,74.8,1.56,2.42,19.4
2016-04-21,20.58,26.98,16.4,73.75,1.23,3.32,16.0
2016-04-22,20.45,27.24,15.49,74.56,2.5,2.9,23.67
2016-04-23,20.61,27.04,16.24,76.24,3.84,3.34,22.4
2016-04-24,20.27,26.52,16.7,78.09,10.78,2.59,16.13
2016-04-25,19.68,25.0,15.73,76.94,15.18,2.38,13.84
2016-04-26,20.75,28.11,15.26,72.2,2.08,2.39,21.18
2016-04-27,20.26,26.99,16.09,74.72,1.91,2.23,22.21
2016-04-28,19.37,25.49,15.1,80.09,4.81,1.74,18.51
2016-04-29,18.56,22.85,15.85,84.48,1.89,1.88,19.29
2016-04-30,17.39,20.03,15.97,88.07,6.13,1.8,15.44
2016-05-01,17.78,21.45,15.63,85.97,6.26,1.47,11.73
2016-05-02,19.43,25.96,14.48,74.7,0.95,2.28,18.08
2016-05-03,19.45,27.55,13.41,70.39,0.36,2.36,22.48
2016-05-04,20.26,27.29,15.3,73.57,0.5,2.54,21.89
2016-05-05,19.9,26.05,16.04,78.5,4.88,2.86,20.62
2016-05-06,19.21,24.59,15.12,75.77,1.31,2.47,16.87
2016-05-07,19.32,26.01,14.04,70.65,0.34,1.9,18.04
2016-05-08,18.39,26.57,12.42,64.88,0.05,2.1,12.08
2016-05-09,19.02,27.26,11.96,70.69,4.03,2.22,20.54
2016-05-10,18.17,23.3,14.94,81.29,4.05,2.51,13.43
2016-05-11,19.03,26.27,13.03,71.24,0.27,2.38,16.76
2016-05-12,19.56,26.72,13.87,71.38,0.34,2.29,19.1
2016-05-13,19.56,26.76,14.22,73.59,0.67,2.06,16.39
2016-05-14,19.63,27.11,14.39,71.04,0.26,2.22,19.91
2016-05-15,19.28,27.84,13.16,63.38,0.02,1.9,21.78
2016-05-16,19.4,27.87,11.86,62.76,0.08,1.38,20.33
2016-05-17,19.56,26.61,13.37,70.55,4.11,1.59,21.17
2016-05-18,18.86,23.93,15.73,81.33,13.36,1.86,17.22
2016-05-19,17.56,22.19,14.44,83.42,6.41,1.83,12.19
2016-05-20,17.76,22.82,14.09,82.04,10.73,1.64,11.97
2016-05-21,18.29,24.69,13.1,75.59,0.25,1.79,13.89
2016-05-22,18.35,25.14,13.54,75.19,0.22,2.33,17.33
2016-05-23,18.63,25.32,14.11,75.76,0.23,2.76,16.25
2016-05-24,18.91,26.34,13.38,71.53,0.13,2.13,16.18
2016-05-25,18.99,26.47,12.45,69.06,0.14,1.45,14.94
2016-05-26,19.0,26.42,13.79,74.08,0.21,1.74,20.99
2016-05-27,18.73,25.78,13.54,72.91,0.14,2.16,13.76
2016-05-28,18.4,25.61,12.87,70.75,0.03,2.33,18.66
2016-05-29,18.46,25.92,12.04,68.44,0.01,1.86,19.99
2016-05-30,18.68,26.27,12.38,66.61,0.02,1.93,22.77
2016-05-31,18.72,26.78,12.64,68.52,0.02,2.03,22.1
2016-06-01,19.09,26.6,13.65,69.46,0.02,2.06,23.06
2016-06-02,19.17,26.8,12.9,69.0,0.01,1.56,23.0
2016-06-03,19.01,26.11,13.6,70.01,0.02,2.31,20.66
2016-06-04,18.86,26.7,12.71,68.66,0.01,2.23,17.24
2016-06-05,18.78,25.73,13.08,71.31,0.05,2.37,18.38
2016-06-06,19.14,26.35,14.26,71.36,0.18,2.59,18.41
2016-06-07,18.73,25.58,14.18,69.55,0.15,2.61,19.56
2016-06-08,18.53,26.01,13.11,67.41,0.18,2.02,21.58
